snapped_at,price,market_cap,total_volume
2021-04-17 00:00:00 UTC,21.43321080173668,46073825.2977228,15212.929512715933
2021-04-18 00:00:00 UTC,21.866149892911935,47004491.27380451,48530.662702565605
2021-04-19 00:00:00 UTC,18.997879440895705,40519297.83339581,34164.03516610437
2021-04-20 00:00:00 UTC,20.732988784513733,44894120.993541785,50205.73404924041
2021-04-21 00:00:00 UTC,20.937605464385353,44130083.563093096,37869.952738392894
2021-04-22 00:00:00 UTC,19.761317842807635,42382179.76571458,19926.970359913437
2021-04-23 00:00:00 UTC,21.394698258153642,46089765.214916535,41752.650546761506
2021-04-24 00:00:00 UTC,19.99115572572461,42311667.19443862,28482.392309011455
2021-04-25 00:00:00 UTC,18.90451181636484,40733695.62848361,4238.453908661863
2021-04-26 00:00:00 UTC,19.271305779322535,41426493.86267212,23036.216585019552
2021-04-27 00:00:00 UTC,20.139832213918453,43277457.91107609,52413.533049758546
2021-04-28 00:00:00 UTC,21.08469240308132,45324633.96277881,26456.54763351571
2021-04-29 00:00:00 UTC,20.802232704621414,45143045.032896854,40685.62555252096
2021-04-30 00:00:00 UTC,20.668501382349906,44690311.34498514,35097.70782096552
2021-05-01 00:00:00 UTC,20.21060915782328,43144322.2012736,57014.794846313205
2021-05-02 00:00:00 UTC,18.89731723345332,40797718.44634906,14143.999681928039
2021-05-03 00:00:00 UTC,17.784856210392192,38231152.838581465,24643.200522121064
2021-05-04 00:00:00 UTC,20.09015088642302,41683252.58644795,25385.130683062984
2021-05-05 00:00:00 UTC,20.628961964655343,42826278.39801999,17450.16253426126
2021-05-06 00:00:00 UTC,24.74822524830145,53199934.30132933,109062.20601239886
2021-05-07 00:00:00 UTC,20.122296069389257,43023933.31018783,75550.59881937868
2021-05-08 00:00:00 UTC,24.09733601707305,52069708.27682431,74668.90461307879
2021-05-09 00:00:00 UTC,24.6617473159151,52940448.55003099,32176.775727403583
2021-05-10 00:00:00 UTC,25.157156442528247,54078991.787203915,24062.777491415232
2021-05-11 00:00:00 UTC,21.40951183349741,45957130.48688708,23098.86086089862
2021-05-12 00:00:00 UTC,21.009641567067696,44844500.57722416,2297.084684592574
2021-05-13 00:00:00 UTC,21.94035237113847,47343519.51128798,19395.810623383186
2021-05-14 00:00:00 UTC,24.088623129672015,51693836.44932095,117308.8892847771
2021-05-15 00:00:00 UTC,25.982884128410944,56030108.12144302,32329.77547684679
2021-05-16 00:00:00 UTC,25.800918338219404,48091691.50239792,33467.80492551001
2021-05-17 00:00:00 UTC,26.83402509890359,57683666.52472875,88049.26225505424
2021-05-18 00:00:00 UTC,19.262526888513676,42065055.61826673,76887.05591496488
2021-05-19 00:00:00 UTC,21.188265744402777,46491242.475259036,70603.99099557218
